ID	Chro_1	Chro_2	Chro_3	Chro_4	Chro_5	Chro_6	Chro_7	Chro_8	Chro_9	Chro_10	Chro_11	Chro_12	Chro_13	Chro_14
31106315001	0	0	0	0	0	0	0	0	0	1	0	0	0	0
31106315001	0	0	0	0	0	0	0	0	0	1	0	0	0	0
31106315001	0	0	0	1	1	1	0	0	0	1	0	0	0	0
31106315001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106315002	0	0	0	0	0	0	0	0	0	1	1	0	0	0
31106315002	0	0	0	0	0	0	0	0	0	1	1	0	0	0
31106315002	1	0	1	0	0	0	0	0	0	1	1	0	0	0
31106315002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106316001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106316001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106316001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106316001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106316002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106316002	0	0	0	0	0	0	0	0	0	1	0	0	0	0
31106316002	0	0	0	0	0	1	0	0	0	1	0	0	0	0
31106316002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106317001	1	1	0	0	0	0	0	0	0	1	0	0	1	0
31106317001	0	0	0	0	0	0	0	0	0	1	0	0	1	0
31106317001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106317002	0	1	1	1	1	1	1	1	1	1	1	1	1	1
31106317002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106317002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106318001	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106318001	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106318001	0	0	0	0	0	0	0	0	0	1	0	0	1	0
31106318001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106318002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106318002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106318002	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31106318002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106319001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106319001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106319001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106319001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106319002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106319002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106319002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106319002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106320001	0	0	0	0	0	0	1	0	0	0	0	0	0	0
31106320001	0	0	0	0	0	0	1	0	0	1	0	0	0	0
31106320001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106321001	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106321001	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106321001	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106321001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106322001	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106322001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106323001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31106323001	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31106323001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106323002	0	0	0	0	0	0	0	0	0	1	0	0	0	0
31106323002	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31106323002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106324001	0	0	0	1	0	0	0	0	0	0	0	0	0	0
31106324001	0	0	0	1	0	0	0	0	0	0	0	0	1	0
31106324001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106324002	1	1	0	0	0	0	0	0	0	0	0	0	0	0
31106324002	1	1	0	0	0	0	0	0	0	0	0	0	0	0
31106324002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31106325001	0	0	0	0	1	0	0	0	0	0	0	0	0	0
31106325001	0	0	0	0	1	0	0	0	0	0	0	0	0	0
31106325001	0	0	0	0	1	0	0	0	0	0	0	0	0	0
